name,kSAT,vars,solution,runtime
MyDumbSAT,3,18,S,0.7778146266937256
MyDumbSAT,3,20,S,5.2974958419799805
MyDumbSAT,3,20,U,5.330438613891602
MyDumbSAT,3,20,S,3.0930981636047363
MyDumbSAT,3,20,U,6.354209899902344
MyDumbSAT,3,20,S,5.672448635101318
MyDumbSAT,3,20,U,5.628829002380371
MyDumbSAT,3,20,U,6.682047128677368
MyDumbSAT,3,20,S,2.53434681892395
MyDumbSAT,3,20,U,5.8650946617126465
MyDumbSAT,3,20,U,6.719444274902344
MyDumbSAT,3,22,S,24.324206113815308
MyDumbSAT,3,22,S,2.093982696533203
MyDumbSAT,3,22,U,27.482455253601074
MyDumbSAT,3,22,U,24.220654487609863
MyDumbSAT,3,22,U,24.619454622268677
MyDumbSAT,3,22,U,24.495224237442017
MyDumbSAT,3,22,U,31.398040056228638
MyDumbSAT,3,22,U,27.328088521957397
MyDumbSAT,3,22,S,23.017518043518066
MyDumbSAT,3,22,S,3.266714334487915
MyDumbSAT,3,24,U,107.78479027748108
MyDumbSAT,3,24,U,83.84998679161072
MyDumbSAT,3,24,U,101.31135582923889
MyDumbSAT,3,24,U,89.32997751235962
MyDumbSAT,3,24,U,99.97574758529663
MyDumbSAT,3,24,U,73.41987919807434
MyDumbSAT,3,24,U,92.68896532058716
MyDumbSAT,3,24,U,101.02032685279846
MyDumbSAT,3,24,U,92.33909344673157
MyDumbSAT,3,24,U,84.63991808891296
MyDumbSAT,4,4,S,0.00035858154296875
MyDumbSAT,4,4,U,0.0003254413604736328
MyDumbSAT,4,4,U,0.00033473968505859375
MyDumbSAT,4,4,S,0.0003039836883544922
MyDumbSAT,4,4,S,0.0003905296325683594
MyDumbSAT,4,4,S,0.00025343894958496094
MyDumbSAT,4,4,S,0.0002741813659667969
MyDumbSAT,4,4,S,0.00037169456481933594
MyDumbSAT,4,4,S,0.00039386749267578125
MyDumbSAT,4,4,S,0.00028514862060546875
MyDumbSAT,4,8,S,0.0019402503967285156
MyDumbSAT,4,8,S,0.002519845962524414
MyDumbSAT,4,8,S,0.0009028911590576172
MyDumbSAT,4,8,S,0.002276182174682617
MyDumbSAT,4,8,S,0.0016589164733886719
MyDumbSAT,4,8,U,0.0033271312713623047
MyDumbSAT,4,8,U,0.0025022029876708984
MyDumbSAT,4,8,S,0.0031735897064208984
MyDumbSAT,4,8,U,0.0033271312713623047
MyDumbSAT,4,8,U,0.0030527114868164062
MyDumbSAT,4,12,S,0.0026922225952148438
MyDumbSAT,4,12,S,0.020982027053833008
MyDumbSAT,4,12,S,0.010669708251953125
MyDumbSAT,4,12,U,0.046868085861206055
MyDumbSAT,4,12,S,0.007009267807006836
MyDumbSAT,4,12,S,0.0042951107025146484
MyDumbSAT,4,12,U,0.031377315521240234
MyDumbSAT,4,12,U,0.048963069915771484
MyDumbSAT,4,12,U,0.03917384147644043
MyDumbSAT,4,12,U,0.03491616249084473
MyDumbSAT,4,16,S,0.14316797256469727
MyDumbSAT,4,16,U,0.6693065166473389
MyDumbSAT,4,16,U,0.8064422607421875
MyDumbSAT,4,16,S,0.08813834190368652
MyDumbSAT,4,16,S,0.4776008129119873
MyDumbSAT,4,16,U,0.6603572368621826
MyDumbSAT,4,16,U,0.7321491241455078
MyDumbSAT,4,16,U,0.6280982494354248
MyDumbSAT,4,16,S,0.15977954864501953
MyDumbSAT,4,16,S,0.07461142539978027
MyDumbSAT,4,18,S,1.5978188514709473
MyDumbSAT,4,18,U,3.37131667137146
MyDumbSAT,4,18,S,0.06534695625305176
MyDumbSAT,4,18,U,2.9844038486480713
MyDumbSAT,4,18,U,3.013552188873291
MyDumbSAT,4,18,S,1.6014187335968018
MyDumbSAT,4,18,U,2.3219966888427734
MyDumbSAT,4,18,S,0.11813664436340332
MyDumbSAT,4,18,U,2.4591054916381836
MyDumbSAT,4,18,U,2.696075916290283
MyDumbSAT,4,20,S,5.02472448348999
MyDumbSAT,4,20,U,11.633107423782349
MyDumbSAT,4,20,S,0.711219072341919
MyDumbSAT,4,20,S,0.11179828643798828
MyDumbSAT,4,20,U,9.986592292785645
MyDumbSAT,4,20,U,10.306516885757446
MyDumbSAT,4,20,S,0.19911980628967285
MyDumbSAT,4,20,U,13.456823110580444
MyDumbSAT,4,20,S,2.1873743534088135
MyDumbSAT,4,20,U,12.169634342193604
MyDumbSAT,4,22,U,40.961742639541626
MyDumbSAT,4,22,U,47.350237131118774
MyDumbSAT,4,22,S,0.7718195915222168
MyDumbSAT,4,22,U,41.21253037452698
MyDumbSAT,4,22,S,23.169463634490967
MyDumbSAT,4,22,U,40.47379994392395
MyDumbSAT,4,22,S,9.803125858306885
MyDumbSAT,4,22,U,47.53482127189636
MyDumbSAT,4,22,S,4.426521301269531
MyDumbSAT,4,22,U,38.97998309135437
MyDumbSAT,4,24,U,159.6937301158905
MyDumbSAT,4,24,S,126.38280940055847
MyDumbSAT,4,24,U,185.01353645324707
MyDumbSAT,4,24,S,130.6518006324768
MyDumbSAT,4,24,S,93.44495940208435
MyDumbSAT,4,24,U,179.51721620559692
MyDumbSAT,4,24,S,128.60102653503418
MyDumbSAT,4,24,S,27.080678462982178
MyDumbSAT,4,24,U,161.0286180973053
MyDumbSAT,4,24,S,14.280851602554321
MyDumbSAT,5,4,S,0.0003933906555175781
MyDumbSAT,5,4,S,0.00028133392333984375
MyDumbSAT,5,4,S,0.00042366981506347656
MyDumbSAT,5,4,S,0.00027298927307128906
MyDumbSAT,5,4,S,0.0002980232238769531
MyDumbSAT,5,4,S,0.0002713203430175781
MyDumbSAT,5,4,S,0.0002799034118652344
MyDumbSAT,5,4,S,0.0004718303680419922
MyDumbSAT,5,4,S,0.00033664703369140625
MyDumbSAT,5,4,S,0.00027060508728027344
MyDumbSAT,5,8,S,0.0013360977172851562
MyDumbSAT,5,8,S,0.0010418891906738281
MyDumbSAT,5,8,S,0.0013532638549804688
MyDumbSAT,5,8,S,0.0008294582366943359
MyDumbSAT,5,8,S,0.0007710456848144531
MyDumbSAT,5,8,S,0.0012807846069335938
MyDumbSAT,5,8,S,0.0010559558868408203
MyDumbSAT,5,8,S,0.0007021427154541016
MyDumbSAT,5,8,S,0.0005848407745361328
MyDumbSAT,5,8,S,0.0005497932434082031
MyDumbSAT,5,12,S,0.002978801727294922
MyDumbSAT,5,12,S,0.0036797523498535156
MyDumbSAT,5,12,S,0.0009391307830810547
MyDumbSAT,5,12,S,0.007292032241821289
MyDumbSAT,5,12,S,0.007040500640869141
MyDumbSAT,5,12,S,0.0009319782257080078
MyDumbSAT,5,12,S,0.0010607242584228516
MyDumbSAT,5,12,S,0.0025167465209960938
MyDumbSAT,5,12,S,0.002695798873901367
MyDumbSAT,5,12,S,0.0024726390838623047
MyDumbSAT,5,16,S,0.00800323486328125
MyDumbSAT,5,16,S,0.004085063934326172
MyDumbSAT,5,16,S,0.009998083114624023
MyDumbSAT,5,16,S,0.025759220123291016
MyDumbSAT,5,16,S,0.03230094909667969
MyDumbSAT,5,16,S,0.0077533721923828125
MyDumbSAT,5,16,S,0.0016651153564453125
MyDumbSAT,5,16,S,0.0024352073669433594
MyDumbSAT,5,16,S,0.0069086551666259766
MyDumbSAT,5,16,S,0.07072186470031738
MyDumbSAT,5,18,S,0.01796746253967285
MyDumbSAT,5,18,S,0.06002402305603027
MyDumbSAT,5,18,S,0.047057390213012695
MyDumbSAT,5,18,S,0.33854246139526367
MyDumbSAT,5,18,S,0.3105583190917969
MyDumbSAT,5,18,S,0.07149434089660645
MyDumbSAT,5,18,S,0.08027482032775879
MyDumbSAT,5,18,S,0.01290583610534668
MyDumbSAT,5,18,S,0.007707834243774414
MyDumbSAT,5,18,S,0.01029658317565918
MyDumbSAT,5,20,S,0.023408174514770508
MyDumbSAT,5,20,S,0.16577672958374023
MyDumbSAT,5,20,S,0.010158061981201172
MyDumbSAT,5,20,S,0.0982513427734375
MyDumbSAT,5,20,S,0.1331312656402588
MyDumbSAT,5,20,S,0.4752671718597412
MyDumbSAT,5,20,S,0.4338381290435791
MyDumbSAT,5,20,S,0.033721923828125
MyDumbSAT,5,20,S,0.2621643543243408
MyDumbSAT,5,20,S,0.06991267204284668
MyDumbSAT,5,22,S,0.14885568618774414
MyDumbSAT,5,22,S,0.3555886745452881
MyDumbSAT,5,22,S,0.003252744674682617
MyDumbSAT,5,22,S,0.012576103210449219
MyDumbSAT,5,22,S,0.020700693130493164
MyDumbSAT,5,22,S,0.48949313163757324
MyDumbSAT,5,22,S,0.7703204154968262
MyDumbSAT,5,22,S,0.7756385803222656
MyDumbSAT,5,22,S,0.10838460922241211
MyDumbSAT,5,22,S,0.07654523849487305
MyDumbSAT,5,24,S,0.24390459060668945
MyDumbSAT,5,24,S,0.2855970859527588
MyDumbSAT,5,24,S,0.6858921051025391
MyDumbSAT,5,24,S,0.7992773056030273
MyDumbSAT,5,24,S,7.275638580322266
MyDumbSAT,5,24,S,0.3763916492462158
MyDumbSAT,5,24,S,0.03757214546203613
MyDumbSAT,5,24,S,6.5930016040802
MyDumbSAT,5,24,S,0.0075228214263916016
MyDumbSAT,5,24,S,0.3853464126586914
MyDumbSAT,6,4,S,0.0003151893615722656
MyDumbSAT,6,4,S,0.0003516674041748047
MyDumbSAT,6,4,S,0.0003075599670410156
MyDumbSAT,6,4,S,0.0003085136413574219
