name,kSAT,vars,solution,runtime
dpll,4,22,U,6.3341498374938965
dpll,4,22,S,0.5082316398620605
dpll,4,22,U,5.811438322067261
dpll,4,24,U,15.709770917892456
dpll,4,24,S,12.134533405303955
dpll,4,24,U,8.041886806488037
dpll,4,24,S,2.1431448459625244
dpll,4,24,S,1.5747220516204834
dpll,4,24,U,11.179858684539795
dpll,4,24,S,2.2960212230682373
dpll,4,24,S,0.7802696228027344
dpll,4,24,U,12.586221933364868
dpll,4,24,S,0.9659719467163086
dpll,5,4,S,0.012210607528686523
dpll,5,4,S,0.011666059494018555
dpll,5,4,S,0.01819920539855957
dpll,5,4,S,0.009048223495483398
dpll,5,4,S,0.010067462921142578
dpll,5,4,S,0.01029825210571289
dpll,5,4,S,0.011656999588012695
dpll,5,4,S,0.026274442672729492
dpll,5,4,S,0.015858173370361328
dpll,5,4,S,0.008854150772094727
dpll,5,8,S,0.028490781784057617
dpll,5,8,S,0.0356595516204834
dpll,5,8,S,0.04549717903137207
dpll,5,8,S,0.04166913032531738
dpll,5,8,S,0.0367586612701416
dpll,5,8,S,0.08818769454956055
dpll,5,8,S,0.03136706352233887
dpll,5,8,S,0.04911470413208008
dpll,5,8,S,0.03734564781188965
dpll,5,8,S,0.06104469299316406
dpll,5,12,S,0.06789159774780273
dpll,5,12,S,0.06411504745483398
dpll,5,12,S,0.07371830940246582
dpll,5,12,S,0.07426023483276367
dpll,5,12,S,0.10549068450927734
dpll,5,12,S,0.12136960029602051
dpll,5,12,S,0.0636146068572998
dpll,5,12,S,0.059298038482666016
dpll,5,12,S,0.06441211700439453
dpll,5,12,S,0.22233819961547852
dpll,5,16,S,0.10416007041931152
dpll,5,16,S,0.31449007987976074
dpll,5,16,S,0.5391457080841064
dpll,5,16,S,0.10679197311401367
dpll,5,16,S,0.12708353996276855
dpll,5,16,S,0.2508561611175537
dpll,5,16,S,0.10940694808959961
dpll,5,16,S,0.2845430374145508
dpll,5,16,S,0.14427518844604492
dpll,5,16,S,0.2486555576324463
dpll,5,18,S,0.1715846061706543
dpll,5,18,S,0.21158862113952637
dpll,5,18,S,0.16394710540771484
dpll,5,18,S,0.17530512809753418
dpll,5,18,S,0.12633633613586426
dpll,5,18,S,0.2803976535797119
dpll,5,18,S,0.3970761299133301
dpll,5,18,S,0.7259101867675781
dpll,5,18,S,0.2891864776611328
dpll,5,18,S,0.1687924861907959
dpll,5,20,S,0.16122722625732422
dpll,5,20,S,0.17229485511779785
dpll,5,20,S,0.33073973655700684
dpll,5,20,S,1.4444944858551025
dpll,5,20,S,0.5816185474395752
dpll,5,20,S,0.20659494400024414
dpll,5,20,S,0.3990786075592041
dpll,5,20,S,0.278796911239624
dpll,5,20,S,0.2037966251373291
dpll,5,20,S,0.8434176445007324
dpll,5,22,S,1.0465500354766846
dpll,5,22,S,0.2004244327545166
dpll,5,22,S,0.21162819862365723
dpll,5,22,S,0.25769567489624023
dpll,5,22,S,0.2334284782409668
dpll,5,22,S,0.28760790824890137
dpll,5,22,S,0.5848078727722168
dpll,5,22,S,0.23137640953063965
dpll,5,22,S,0.20173358917236328
dpll,5,22,S,0.5750975608825684
dpll,5,24,S,0.6903071403503418
dpll,5,24,S,0.564190149307251
dpll,5,24,S,0.22956609725952148
dpll,5,24,S,0.2718038558959961
dpll,5,24,S,0.5172882080078125
dpll,5,24,S,0.3380086421966553
dpll,5,24,S,0.3301975727081299
dpll,5,24,S,0.23035955429077148
dpll,5,24,S,0.2326040267944336
dpll,5,24,S,0.5250036716461182
dpll,6,4,S,0.011648893356323242
dpll,6,4,S,0.023488759994506836
dpll,6,4,S,0.010363578796386719
dpll,6,4,S,0.010368585586547852
dpll,6,4,S,0.01893138885498047
dpll,6,4,S,0.010731697082519531
dpll,6,4,S,0.010176420211791992
dpll,6,4,S,0.010180234909057617
dpll,6,4,S,0.010315179824829102
dpll,6,4,S,0.012323856353759766
dpll,6,8,S,0.033087968826293945
dpll,6,8,S,0.033429622650146484
dpll,6,8,S,0.0421600341796875
dpll,6,8,S,0.03550601005554199
dpll,6,8,S,0.03309822082519531
dpll,6,8,S,0.0439457893371582
dpll,6,8,S,0.03374958038330078
dpll,6,8,S,0.03314495086669922
dpll,6,8,S,0.03656506538391113
dpll,6,8,S,0.03489351272583008
dpll,6,12,S,0.07434368133544922
dpll,6,12,S,0.07979917526245117
dpll,6,12,S,0.08882021903991699
dpll,6,12,S,0.07711601257324219
dpll,6,12,S,0.07286548614501953
dpll,6,12,S,0.07051730155944824
dpll,6,12,S,0.07763123512268066
dpll,6,12,S,0.08440971374511719
dpll,6,12,S,0.12205648422241211
dpll,6,12,S,0.06934618949890137
dpll,6,16,S,0.12401747703552246
dpll,6,16,S,0.11913037300109863
dpll,6,16,S,0.1324613094329834
dpll,6,16,S,0.13909077644348145
dpll,6,16,S,0.12274837493896484
dpll,6,16,S,0.13857507705688477
dpll,6,16,S,0.1403064727783203
dpll,6,16,S,0.12599587440490723
dpll,6,16,S,0.19895625114440918
dpll,6,16,S,0.15237021446228027
